City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,78.8,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
8,Samarai,PG,79.86,moderate rain,-10.62,150.67,Nuli Sapi
9,Porto Belo,BR,78.01,few clouds,-27.16,-48.55,Costa Verde Beach Hotel
12,Avarua,CK,77.0,overcast clouds,-21.21,-159.78,Paradise Inn
13,Vila Velha,BR,84.2,few clouds,-20.33,-40.29,Hotel Vitória Palace
15,Bairiki,KI,80.6,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
17,Chichihualco,MX,79.5,overcast clouds,17.68,-99.65,Hotel Casa Blanca
20,Salalah,OM,80.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
25,Sabang,ID,81.18,overcast clouds,5.89,95.32,Hotel Citra
26,Tamiahua,MX,80.11,overcast clouds,21.27,-97.45,Mission Of The Sun Hotel
29,Touros,BR,80.6,broken clouds,-5.2,-35.46,INN NEW HORIZON
30,Marsh Harbour,BS,75.96,moderate rain,26.54,-77.06,Abaco Beach Resort
31,Atuona,PF,77.07,broken clouds,-9.8,-139.03,Villa Enata
35,Bethel,US,75.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
44,Carutapera,BR,86.25,scattered clouds,-1.2,-46.02,Lidera
48,Hambantota,LK,75.2,broken clouds,6.12,81.12,Bungalow 63
54,Teknaf,BD,75.74,clear sky,20.86,92.31,Magnum Engineering & Construction
60,Hithadhoo,MV,84.22,overcast clouds,-0.6,73.08,Scoop Guest House
62,Butaritari,KI,81.27,overcast clouds,3.07,172.79,Isles Sunset Lodge
70,Mogadishu,SO,79.7,light rain,2.04,45.34,Hotel Juba
79,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
80,Georgetown,MY,77.0,light rain,5.41,100.34,Cititel Penang
84,Ixtapa,MX,86.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
98,Santa Maria,BR,84.2,clear sky,-29.68,-53.81,Hotel Morotin
100,Kahului,US,82.4,scattered clouds,20.89,-156.47,Maui Seaside Hotel
101,Sao Filipe,CV,80.78,clear sky,14.9,-24.5,Tortuga B&B
107,Faanui,PF,78.62,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
120,Vanimo,PG,77.18,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
130,San-Pedro,CI,78.69,light rain,4.75,-6.64,Hotel Maria
137,Kalmunai,LK,81.07,heavy intensity rain,7.42,81.82,VS Villa
138,Meulaboh,ID,76.59,overcast clouds,4.14,96.13,Kost Pria
141,Santa Fe,AR,84.45,moderate rain,-31.63,-60.7,Conquistador Hotel
143,Popondetta,PG,75.4,broken clouds,-8.75,148.25,Timos Transit House
146,Isangel,VU,75.7,broken clouds,-19.55,169.27,Volcano Sea View Tree House
151,Poso,ID,79.0,overcast clouds,-1.4,120.75,Hotel 77 Poso
153,Bengkulu,ID,75.74,light rain,-3.8,102.27,Grage Hotel Bengkulu
156,Kandrian,PG,77.07,light rain,-6.22,149.55,Kandrian Station
157,Bosaso,SO,78.94,clear sky,11.28,49.18,Red Sea Hotel
160,San Patricio,US,82.99,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
163,Anito,PH,77.13,light rain,12.45,125.29,The Yellow House
166,Castro,BR,84.72,few clouds,-24.79,-50.01,CHACARA BAILLY
174,Dwarka,IN,80.96,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
175,Niteroi,BR,75.2,overcast clouds,-22.88,-43.1,OYO Viareggio Hotel - Niterói
183,Cabo San Lucas,MX,86.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
184,Cayenne,GF,87.8,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
185,Arraial Do Cabo,BR,77.0,broken clouds,-22.97,-42.03,Pousada Porto Praia
186,Sri Aman,MY,75.2,light rain,1.24,111.46,Seri Simanggang Hotel
190,Port-Gentil,GA,77.0,scattered clouds,-0.72,8.78,Fengshui Residence
193,Sawakin,SD,85.41,clear sky,19.11,37.33,فندق الدويم
197,Kantang,TH,75.96,overcast clouds,7.41,99.52,Reng Ta Chai Boutique HomeStay
201,Marawi,PH,75.0,overcast clouds,8.0,124.29,Derogongan Residence
203,Robertsport,LR,80.73,scattered clouds,6.75,-11.37,Kwepunha Retreat
205,Port Keats,AU,82.56,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
207,Sibolga,ID,77.32,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
209,Morant Bay,JM,80.01,moderate rain,17.88,-76.41,Whispering Bamboo Cove Resort
210,Galesong,ID,75.2,few clouds,-5.32,119.37,Sapriadi Appy
212,Tabou,CI,79.05,light rain,4.42,-7.35,hotêl doufoulougou
216,La Cruz,MX,88.0,clear sky,23.92,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
217,Beecher,US,75.2,clear sky,43.09,-83.69,"Holt's Mobile Home Court, Sales and RV Park"
218,Makakilo City,US,80.6,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
219,Toamasina,MG,77.0,shower rain,-18.17,49.38,Hotel H1
221,Hilo,US,75.99,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
224,Concordia,AR,84.2,clear sky,-31.39,-58.02,Palmar Hotel Casino
234,Porto Novo,BJ,84.2,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
235,Wukari,NG,79.81,clear sky,7.85,9.78,Elimtop
236,Kavieng,PG,81.46,overcast clouds,-2.57,150.8,Nusa Island Retreat
238,Basco,PH,79.43,broken clouds,20.45,121.97,Nathaniel's Lodge
239,Xai-Xai,MZ,88.02,clear sky,-25.05,33.64,Platinum Hotel
242,Lahad Datu,MY,75.94,light rain,5.03,118.33,The 27th House
246,Belmonte,BR,80.6,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
251,Boyolangu,ID,75.38,overcast clouds,-8.12,111.89,Yos ega cv
263,Tautira,PF,82.4,scattered clouds,-17.73,-149.15,Pension Oaoa
266,Itarema,BR,85.17,clear sky,-2.92,-39.92,Windvillage
269,Buraydah,SA,78.8,scattered clouds,26.33,43.98,Mövenpick Hotel Qassim
271,Innisfail,AU,75.11,broken clouds,-17.53,146.03,Moondarra Motel
273,Puerto Triunfo,CO,89.06,overcast clouds,5.87,-74.64,Hotel el Mirador
276,Austin,US,78.8,scattered clouds,30.27,-97.74,The Driskill - In the Unbound Collection by Hyatt
284,Mayumba,GA,77.34,light rain,-3.43,10.66,LIKWALE LODGE
286,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
289,Stolbishche,RU,78.33,clear sky,55.65,49.22,Holiday Home on Dorozhnaya 37A
295,Birnin Kebbi,NG,80.02,broken clouds,12.45,4.2,Saffar Guest Inn Ltd
305,Luwuk,ID,76.17,few clouds,-0.95,122.79,Hotel Santika Luwuk
309,Diffa,NE,77.18,overcast clouds,13.32,12.61,ProDAF/Diffa
311,Daru,PG,80.19,moderate rain,-9.08,143.21,New century hotel
315,Sambava,MG,75.58,light rain,-14.27,50.17,Melrose
319,Moa,CU,82.89,overcast clouds,20.66,-74.94,Renta en Divisa
322,Sao Joao Da Barra,BR,84.2,few clouds,-21.64,-41.05,Pousada Porto De Canoas
324,Iquitos,PE,80.6,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
326,Wad Madani,SD,79.41,clear sky,14.4,33.52,فندق يوغسلافيا
327,Tiarei,PF,82.4,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
328,Sal Rei,CV,80.6,clear sky,16.18,-22.92,Marine Club Beach Resort
333,Denpasar,ID,80.6,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
340,Nuevo Progreso,MX,87.01,broken clouds,23.17,-97.95,Balneario Rio el Paraiso
341,Puerto Ayacucho,VE,86.04,broken clouds,5.66,-67.62,Posada Turistica Manapiare
345,Kaoma,ZM,79.11,clear sky,-14.78,24.8,KAOMA AIRPORT
346,Maturin,VE,85.75,moderate rain,9.75,-63.18,Residencias Guaritos I
354,La Vega,DO,84.2,broken clouds,19.22,-70.53,Hotel Rey
355,Pontianak,ID,77.45,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
357,Labuhan,ID,79.32,overcast clouds,-6.88,112.21,bador sepret
363,Port Blair,IN,80.73,light rain,11.67,92.75,Fortune Resort Bay Island
379,Victoria,HK,75.0,light rain,22.29,114.16,Mini Hotel Central
380,The Valley,AI,87.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
381,Male,MV,78.8,light intensity shower rain,4.17,73.51,Hotel Octave Maldives
386,Miandrivazo,MG,83.21,light rain,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
387,Kununurra,AU,80.6,overcast clouds,-15.77,128.73,Hotel Kununurra
392,Fare,PF,79.07,moderate rain,-16.7,-151.02,Maitai Lapita Village Huahine
393,Pecos,US,86.0,clear sky,31.42,-103.49,Knights Inn Pecos
394,Waingapu,ID,80.35,overcast clouds,-9.66,120.26,Pondok Wisata Elim
395,Cabo Rojo,PR,81.0,overcast clouds,18.09,-67.15,Hotel Perichi's
399,Kavaratti,IN,83.52,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
404,Dicabisagan,PH,78.08,heavy intensity rain,17.08,122.42,Nancy Montanes Bernardo
405,Tarata,BO,82.4,few clouds,-17.62,-66.02,TARA TARA Centro Alternativo Hosting
406,Trelew,AR,86.9,overcast clouds,-43.25,-65.31,Hotel Touring Club
410,Cockburn Town,TC,82.4,overcast clouds,21.46,-71.14,Osprey Beach Hotel
425,Camocim,BR,88.56,clear sky,-2.9,-40.84,Hotel Ilha do Amor
427,Buriti Alegre,BR,89.2,broken clouds,-18.14,-49.04,Andrey Hotel Churrascaria
430,Lorengau,PG,79.3,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
432,Bathsheba,BB,82.4,shower rain,13.22,-59.52,Atlantis Hotel
434,Padang,ID,76.89,moderate rain,-0.95,100.35,Mercure Padang
442,Santa Marta,CO,87.01,few clouds,11.24,-74.2,Hotel La Ballena Azul
445,Filadelfia,US,75.99,clear sky,39.95,-75.16,Loews Philadelphia Hotel
450,Hobyo,SO,81.18,few clouds,5.35,48.53,Osmani Hotel
457,Sola,VU,78.8,broken clouds,-13.88,167.55,Ulkel Guest House
465,Teacapan,MX,84.9,clear sky,22.55,-105.75,Hotel los Mangos
471,San Pedro,PH,80.6,scattered clouds,14.35,121.02,OYO 412 Viewfort Venue
479,Champerico,GT,82.4,overcast clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
481,Omboue,GA,75.88,light rain,-1.57,9.26,Hotel Olako
483,Sorong,ID,79.54,broken clouds,-0.88,131.25,The Waigo Hotel
485,Road Town,VG,82.4,moderate rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
487,Palmer,US,75.2,few clouds,42.16,-72.33,Wedgewood Motel
490,Kirando,TZ,78.06,clear sky,-7.42,30.6,Lakeshore Lodge
493,Malakal,SS,80.65,clear sky,9.53,31.66,Nile Palace Hotel
494,Namatanai,PG,79.0,light rain,-3.67,152.43,Namatanai Hotel
497,Lakatoro,VU,77.0,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
498,Qui Nhon,VN,76.21,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
501,Maceio,BR,84.2,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
503,Ratnagiri,IN,78.98,clear sky,16.98,73.3,Hotel Landmark
506,La Playa,PR,82.0,light rain,18.29,-67.19,Rincon Beach Resort
510,Boffa,GN,79.74,clear sky,10.17,-14.03,Hôtel Niara Belly
514,Manaure,CO,84.0,broken clouds,11.78,-72.44,Del mar vendra
517,Venice,US,80.01,light rain,27.1,-82.45,A Beach Retreat On Casey Key
525,Portobelo,PA,86.0,broken clouds,9.55,-79.65,Scuba Portobelo
527,Bom Jesus Do Galho,BR,81.23,clear sky,-19.83,-42.32,HOTEL LOPES
530,Rock Sound,BS,77.67,light rain,24.9,-76.2,Rock Sound Club
535,Vallenar,CL,80.83,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
542,Tra Vinh,VN,75.07,overcast clouds,9.93,106.35,Hồng Ân
543,El Alto,PE,75.2,clear sky,-4.27,-81.21,Black Marlin Lodge & Restaurant
544,Tahoua,NE,84.2,clear sky,14.89,5.27,Bungalows Guesthouse
551,Banjar,ID,80.6,scattered clouds,-8.19,114.97,The Hamsa Resort
554,Sinnamary,GF,84.65,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
555,Samana,DO,86.0,shower rain,19.21,-69.34,The Bannister - Hotel & Yacht Club
559,Havelock,US,78.01,scattered clouds,34.88,-76.9,Sherwood Motel
564,Mumford,GH,79.75,light rain,5.26,-0.76,Spanish Villa
566,Cabedelo,BR,86.0,broken clouds,-6.98,-34.83,Lua Mansa Pousada
567,Am Timan,TD,82.63,scattered clouds,11.03,20.28,Palais du chef Canton Salamt
569,Lafia,NG,81.45,overcast clouds,8.48,8.52,Low Cost Housing Estate
570,Arlit,NE,77.74,clear sky,18.74,7.39,Hôtel Telwa Bungalow
578,Kampot,KH,77.0,few clouds,10.62,104.18,Champa Lodge
583,Puerto Baquerizo Moreno,EC,77.0,few clouds,-0.9,-89.6,Hotel los Algarrobos
586,Progreso,MX,86.0,broken clouds,21.28,-89.67,Playa Linda Hotel
587,Wamba,NG,76.95,overcast clouds,8.93,8.6,Roma Zee Guest House Annex
591,Kontagora,NG,77.92,overcast clouds,10.4,5.47,City Gate Inn
599,Ugoofaaru,MV,83.71,overcast clouds,5.67,73.0,Ungoofaaru Inn
601,Macia,MZ,89.69,clear sky,-25.03,33.1,Hotel Taskin Macia
603,Kandi,BJ,79.2,broken clouds,11.13,2.94,Maison des producteurs kandi
607,Savelugu,GH,86.74,broken clouds,9.62,-0.83,Yoo Naa's Palace
614,Puerto Escondido,MX,87.8,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
620,Umm Lajj,SA,75.6,clear sky,25.02,37.27,Moon light Furnished Units
622,Bubaque,GW,84.78,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
629,Jacqueville,CI,77.0,scattered clouds,5.21,-4.41,Hotel Le Martin Pecheur
632,Puerto Leguizamo,CO,83.64,light rain,-0.19,-74.78,la casona de juancho
633,Florianopolis,BR,77.0,broken clouds,-27.61,-48.5,Hotel Boutique Quinta das Videiras
636,Sterling,US,75.0,few clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
640,Kulhudhuffushi,MV,83.57,overcast clouds,6.62,73.07,Haajy Guest House 1
646,Cabinda,AO,78.55,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
648,Kupang,ID,80.6,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
651,Gwanda,ZW,85.73,clear sky,-20.93,29.0,Mafax Homeways
653,Calabozo,VE,84.74,overcast clouds,8.92,-67.43,Hotel Giardini
654,Balangiga,PH,77.4,overcast clouds,11.11,125.39,Summerscape Haven
659,Altoona,US,75.99,clear sky,40.52,-78.39,Cedar Grove Motel
660,Bandarbeyla,SO,77.81,clear sky,9.49,50.81,REER XOOSHLE GROUP
663,Veraval,IN,78.78,clear sky,20.9,70.37,Lords Inn Somnath
667,Salta,AR,82.4,overcast clouds,-24.79,-65.41,Hotel Alejandro I
669,Nha Trang,VN,82.4,scattered clouds,12.25,109.18,Hanoi Golden Hotel
672,Pocoes,BR,76.89,clear sky,-14.53,-40.37,Poções Palace Hotel
679,Mandera,KE,82.81,moderate rain,3.94,41.87,Kornesh Hotel and Lodging
681,Aden,YE,79.95,clear sky,12.78,45.04,Sama Emirate Hotel
683,Kita,ML,82.63,scattered clouds,13.03,-9.49,Hôtel Nelson Mandela
687,San Miguel,SV,87.8,scattered clouds,13.48,-88.18,Excalibur
690,Ambon,ID,81.0,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
693,Matamoros,MX,78.8,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
713,Aldama,MX,87.01,broken clouds,22.92,-98.07,CASA CANYE
719,Inhambane,MZ,80.6,scattered clouds,-23.86,35.38,Oceano
720,Caravelas,BR,79.99,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
722,Dabola,GN,76.69,clear sky,10.75,-11.12,Hotel Tinkisso
723,Pemangkat,ID,79.7,heavy intensity rain,1.17,108.97,Kost H.Syamsuddin
726,Pemba,MZ,79.75,clear sky,-12.97,40.52,Guesthouse Samotina
